disease,description,success
Hoyeraal-Hreidarsson syndrome,"Hoyeraal-Hreidarsson syndrome, a very rare, X-linked recessive variant of dyskeratosis congenita, is characterized by extremely short telomeres, intrauterine growth retardation, cerebellar hypoplasia, immunodeficiency, and progressive bone marrow failure typically presenting in early childhood.",True
allergic asthma,"allergic asthma, is a chronic inflammatory airway condition triggered by allergens such as pollen, dust mites, and mold spores that cause airway tightening, inflammation, and symptoms like wheezing, coughing, and shortness of breath.",True
hirudiniasis,"hirudiniasis, a condition caused by leech infestation on skin or mucosal surfaces that can lead to bleeding, discomfort, and occasionally serious complications.",True
beriberi,"beriberi, a disease caused by a severe deficiency of thiamine (vitamin B1) that impairs the nervous and cardiovascular systems, leading to symptoms ranging from muscle weakness and numbness to potentially life-threatening heart complications.",True
gallbladder disease,"gallbladder disease, an umbrella term for conditions affecting the bile-storing organ, including inflammation, infection, gallstones, blockages, and even cancer. ",True
nodular fasciitis,"nodular fasciitis, a rare benign soft tissue tumor of fibroblastic/myofibroblastic origin that rapidly grows in fascia and subcutaneous tissues and often mimics a malignant sarcoma despite being self-limited.",True
rosacea,"rosacea, a chronic inflammatory skin condition that primarily affects the face, causing persistent redness, visible blood vessels, bumps, and in severe cases, nasal skin thickening (rhinophyma) along with potential eye irritation.",True
impetigo,"impetigo, a highly contagious bacterial skin infection that primarily affects young children by causing red sores and blisters that burst to form honey-colored crusts.",True
erysipeloid,"erysipeloid, a bacterial skin infection caused by Erysipelothrix rhusiopathiae and typically acquired through contact with contaminated animal or seafood products.",True
Marfan syndrome,"Marfan syndrome, a genetic disorder that affects connective tissue throughout the body, leading to complications in the heart, eyes, blood vessels, and skeleton.",True
Whipple disease,"Whipple disease, a rare bacterial infection that primarily affects the gastrointestinal system by damaging the small intestine and impairing nutrient absorption while also potentially involving multiple organs such as joints and the central nervous system.",True
pulmonary embolism (disease),"pulmonary embolism (disease), is a potentially life-threatening blockage in the lung arteries—usually caused by a blood clot from a deep vein thrombosis—that can result in symptoms such as sudden shortness of breath, chest pain, and lung tissue damage if not promptly treated.",True
myocardial infarction,"myocardial infarction, a heart attack that occurs when blood flow to the heart muscle is reduced or blocked, causing tissue damage.",True
arteriosclerosis disorder,"arteriosclerosis disorder, a condition characterized by the hardening, thickening, and loss of elasticity in the arteries that restricts blood flow and increases the risk of cardiovascular complications.",True
phaeochromocytoma,"phaeochromocytoma, a rare neuroendocrine tumor arising from chromaffin cells in the adrenal medulla that secretes excess catecholamines, leading to intermittent high blood pressure, palpitations, and sweating.",True
neuritis,"neuritis, inflammation of one or more nerves, typically in the peripheral nervous system, that disrupts signal transmission and causes symptoms such as pain, numbness, tingling, and weakness.",True
leukopenia,"leukopenia, a condition characterized by a lower-than-normal white blood cell count that can weaken the immune system and increase susceptibility to infections.",True
lymphangioleiomyomatosis,"lymphangioleiomyomatosis, a rare progressive multisystem disease predominantly affecting women of reproductive age that is characterized by abnormal smooth muscle cell growth leading to cystic lung destruction and respiratory complications.",True
hyperkalemic periodic paralysis,"hyperkalemic periodic paralysis, a genetic disorder characterized by episodes of muscle weakness or paralysis due to elevated potassium levels that disrupt normal sodium channel function in muscle cells.",True
epiglottitis,"epiglottitis, a serious inflammation of the epiglottis that can rapidly block the airway and lead to life-threatening breathing difficulties.",True
inherited isolated adrenal insufficiency due to partial CYP11A1 deficiency,"inherited isolated adrenal insufficiency due to partial CYP11A1 deficiency, is a rare genetic chronic primary adrenal insufficiency disorder caused by partial loss-of-function CYP11A1 mutations that presents in early childhood with adrenal crisis and electrolyte imbalances without abnormal external male genitalia.",True
familial isolated dilated cardiomyopathy,"familial isolated dilated cardiomyopathy, a genetic heart muscle disorder characterized by progressive left ventricular dilation and impaired systolic function without associated systemic or coronary abnormalities.",True
disseminated intravascular coagulation,"disseminated intravascular coagulation, a serious disorder characterized by widespread abnormal clotting that depletes clotting factors and platelets, leading to simultaneous blood clots and dangerous bleeding which can cause organ damage.",True
neoplasm (disease),"neoplasm (disease), an abnormal and excessive growth of tissue due to uncontrolled cell proliferation that can be benign (noncancerous) or malignant (cancerous).",True
epidermolysis bullosa,"epidermolysis bullosa, a group of rare genetic skin disorders characterized by extremely fragile skin that blisters easily in response to minor trauma.",True
exanthem (disease),"exanthem (disease), a condition characterized by a widespread rash accompanied by systemic symptoms such as fever and malaise, most commonly resulting from viral infections in children but also potentially triggered by bacteria, toxins, or medications.",True
gastric adenocarcinoma,"gastric adenocarcinoma, a malignant epithelial tumor arising from the gastric mucosa's glandular cells and representing the most common form of stomach cancer, is classified histologically into intestinal and diffuse types and is associated with factors like Helicobacter pylori infection, dietary habits, and genetic predisposition.",True
juvenile pilocytic astrocytoma,"juvenile pilocytic astrocytoma, a low-grade, typically benign brain tumor that primarily affects children and young adults by growing slowly and arising from supportive astrocyte cells.",True
influenza,"influenza, a contagious respiratory illness caused by rapidly evolving viruses that result in symptoms ranging from mild to severe—such as fever, cough, and body aches—and is typically mitigated by annually updated vaccines.",True
discoid lupus erythematosus,"discoid lupus erythematosus, a chronic autoimmune skin disorder that causes red, scaly lesions on sun-exposed areas, often leading to scarring and pigment changes.",True
clear cell renal carcinoma,"clear cell renal carcinoma, the most common type of kidney cancer in adults, originates in the cells lining the renal tubules and is characterized by clear cell tumors that may exhibit aggressive behavior and strong genetic associations, such as alterations in the VHL gene.",True
thrombophlebitis,"thrombophlebitis, an inflammation of a vein caused by a blood clot that typically occurs in the legs and may lead to serious complications such as deep vein thrombosis and pulmonary embolism.",True
Leber hereditary optic neuropathy,"Leber hereditary optic neuropathy, a rare mitochondrial inherited disorder primarily affecting young adult males, leads to subacute bilateral central vision loss due to optic nerve degeneration from mitochondrial DNA point mutations.",True
synovitis (disease),"synovitis (disease), a condition characterized by inflammation of the synovial membrane lining the joints, which often leads to pain, swelling, and stiffness.",True
Lewy body dementia,"Lewy body dementia, a neurodegenerative disorder that impairs cognition, movement, behavior, and sleep.",True
familial apolipoprotein C-II deficiency,"familial apolipoprotein C-II deficiency, a rare autosomal recessive disorder caused by the absence of apo C-II that impairs lipoprotein lipase activation and chylomicron clearance, leading to severe hypertriglyceridemia and recurrent episodes of pancreatitis along with other systemic manifestations.",True
heart disease,"heart disease, a term encompassing various conditions such as coronary artery disease, arrhythmias, and congenital defects that impair heart function and are the leading cause of death but can be managed and prevented through lifestyle changes and medical treatment.",True
urticaria (disease),"urticaria (disease), a skin condition characterized by the sudden appearance of itchy, raised welts—known as hives—that can be acute or chronic and may result from allergic reactions, autoimmune disorders, or unknown triggers.",True
acute intermittent porphyria,"acute intermittent porphyria, a rare autosomal dominant metabolic disorder caused by a deficiency of hydroxymethylbilane synthase (porphobilinogen deaminase) that disrupts heme production and triggers acute neurovisceral attacks.",True
Hermansky-Pudlak syndrome,"Hermansky-Pudlak syndrome, a rare autosomal recessive disorder characterized by oculocutaneous albinism, bleeding diathesis, and in some cases additional systemic complications such as pulmonary fibrosis and granulomatous colitis.",True
urinary bladder cancer,"urinary bladder cancer, a malignant disease characterized by uncontrolled cell growth in the lining of the bladder that can lead to symptoms such as blood in the urine and urinary dysfunction.",True
seborrheic dermatitis,"seborrheic dermatitis, is a common, chronic inflammatory skin condition that primarily affects the scalp and other oily areas, causing red, itchy patches with greasy, scaly crusts.",True
classic Hodgkin lymphoma,"classic Hodgkin lymphoma, a lymphoid malignancy characterized by the presence of Reed–Sternberg cells amid a reactive inflammatory background that accounts for over 90% of Hodgkin lymphoma cases and is highly treatable with stage-adapted therapies.",True
autoimmune hemolytic anemia,"autoimmune hemolytic anemia, a rare autoimmune disorder in which the body's immune system mistakenly attacks and destroys red blood cells, leading to premature cell loss and anemia.",True
Kallmann syndrome,"Kallmann syndrome, a genetic disorder that causes hypogonadotropic hypogonadism leading to delayed or absent puberty and impaired sense of smell.",True
Coronavinae infectious disease,"Coronavinae infectious disease, a group of viral illnesses caused by RNA viruses in the coronavirus genus that affect both animals and humans, leading to a range of conditions from mild respiratory and gastrointestinal symptoms to severe, potentially fatal infections.",True
follicular lymphoma,"follicular lymphoma, a slow-growing type of non-Hodgkin lymphoma originating from B-cells in lymphoid tissues that typically affects lymph nodes and can spread to other organs.",True
active peptic ulcer disease,"active peptic ulcer disease, a condition in which open sores form in the stomach or duodenum due to the corrosive effects of gastric acid and pepsin, leading to pain and potential bleeding.",True
central nervous system infectious disorder,"central nervous system infectious disorder, a potentially life-threatening condition caused by bacterial, viral, fungal, protozoal, or prion pathogens invading the brain, spinal cord, and surrounding membranes, often requiring prompt diagnosis and treatment to prevent severe neurological damage or death.",True
ovarian clear cell adenocarcinoma,"ovarian clear cell adenocarcinoma, a rare subtype of epithelial ovarian cancer characterized by distinctive clear and hobnail cell morphology, often linked to endometriosis and typically diagnosed at an earlier stage.",True
postural orthostatic tachycardia syndrome,"postural orthostatic tachycardia syndrome, a disorder of the autonomic nervous system characterized by an excessive increase in heart rate and associated symptoms such as dizziness, fatigue, and palpitations upon standing.",True
myelofibrosis,"myelofibrosis, a rare chronic leukemia and myeloproliferative disorder characterized by fibrous scar tissue replacing bone marrow and disrupting normal blood cell production.",True
alcohol withdrawal,"alcohol withdrawal, a condition resulting from long-term heavy alcohol use that causes a range of symptoms—from mild discomfort to life-threatening complications such as delirium tremens—when alcohol consumption is abruptly reduced or stopped.",True
sunburn,"sunburn, an inflammatory skin condition caused by excessive ultraviolet radiation exposure that results in red, painful, and sometimes blistered skin with risks of dehydration, infection, scarring, and long-term skin damage.",True
intestinal disease,"intestinal disease, a condition affecting the gastrointestinal tract that involves inflammation, infection, or autoimmune responses in the intestines and can impair digestion and nutrient absorption.",True
splenic infarction,"splenic infarction, a condition where occlusion of the splenic blood supply leads to tissue ischemia and necrosis, typically due to embolic events or underlying disorders.",True
adrenocortical insufficiency,"adrenocortical insufficiency, a condition in which the adrenal cortex fails to produce sufficient steroid hormones—primarily cortisol and aldosterone—leading to symptoms like fatigue, weight loss, and electrolyte imbalances that may precipitate an adrenal crisis.",True
sinusitis,"sinusitis, an inflammation of the sinus cavities typically caused by viral or bacterial infections, resulting in symptoms such as facial pain, congestion, and headache.",True
metabolic syndrome,"metabolic syndrome, a cluster of conditions—including high blood pressure, elevated blood sugar, excess abdominal fat, and abnormal cholesterol levels—that together significantly increase the risk of heart disease, stroke, and type 2 diabetes.",True
viral eye infection,"viral eye infection, a highly contagious inflammation of the eye's conjunctiva most often caused by adenovirus that leads to red, watery, and irritated eyes and usually resolves on its own while sometimes requiring antiviral or steroid treatment in severe cases.",True
granuloma annulare,"granuloma annulare, a chronic, benign skin condition characterized by ring-shaped, raised bumps or plaques typically appearing on the extremities.",True
hematologic disease,"hematologic disease, disorders that affect the blood and blood-forming organs, including conditions such as anemia, hemoglobinopathies, clotting abnormalities, and blood cancers.",True
MYH7-related skeletal myopathy,"MYH7-related skeletal myopathy, a genetic disorder caused by pathogenic variants in the MYH7 gene encoding the slow/β-cardiac myosin heavy chain, exhibits a heterogeneous clinical spectrum with variable patterns of skeletal muscle weakness and occasional cardiac involvement depending on the mutation's location.",True
herpes simplex virus keratitis,"herpes simplex virus keratitis, a recurrent viral infection of the cornea caused by herpes simplex virus that can lead to scarring and vision impairment or blindness.",True
osteonecrosis,"osteonecrosis, a condition in which reduced blood flow leads to bone tissue death, potentially causing bone collapse and subsequent joint deterioration.",True
diffuse astrocytoma,"diffuse astrocytoma, a slow-growing brain tumor that arises from astrocytes in the central nervous system and is typically classified as a grade 2 glioma with diffuse infiltration into surrounding brain tissue.",True
renal artery obstruction,"renal artery obstruction, a narrowing or blockage of the arteries supplying blood to the kidneys that reduces oxygen-rich blood flow and can lead to high blood pressure, kidney damage, or failure.",True
lymphoplasmacytic lymphoma,"lymphoplasmacytic lymphoma, a rare, slow-growing non-Hodgkin lymphoma of B cells that produce abnormal antibodies and primarily affects older adults.",True
subcorneal pustular dermatosis,"subcorneal pustular dermatosis, a rare, chronic, relapsing skin disorder characterized by sterile, neutrophil-rich pustules forming beneath the stratum corneum, most commonly affecting middle-aged women.",True
dental fluorosis,"dental fluorosis, a condition caused by excessive fluoride intake during tooth development that leads to enamel discoloration and structural defects.",True
osteonecrosis of the jaw,"osteonecrosis of the jaw, a rare but serious condition characterized by the death of jawbone tissue that can lead to bone exposure through the gums, often triggered by medications, radiation therapy, surgery, or infections.",True
yaws,"yaws, a tropical bacterial infection caused by Treponema pallidum subspecies pertenue that spreads through direct skin contact, leading to skin lesions, bone pain, and deformities, but can be effectively treated with antibiotics.",True
obesity disorder,"obesity disorder, a chronic and complex condition characterized by excessive body fat that increases the risk for serious health complications such as diabetes, cardiovascular disease, sleep apnea, and other metabolic and psychological disorders.",True
vulva cancer,"vulva cancer, a rare form of cancer that originates on the outer tissues of the female genitalia, typically beginning as a lump or sore on the vulva and most often diagnosed in older adults.",True
perinatal necrotizing enterocolitis,"perinatal necrotizing enterocolitis, a severe inflammatory gastrointestinal condition primarily affecting premature neonates that leads to intestinal necrosis and carries high morbidity and mortality.",True
actinic prurigo,"actinic prurigo, a rare chronic photodermatosis characterized by intensely itchy, inflammatory lesions on sun-exposed skin areas.",True
peritonitis,"peritonitis, an inflammation of the peritoneum—the lining of the abdominal cavity—commonly caused by bacterial or fungal infections and potentially leading to serious complications like sepsis.",True
corneal degeneration,"corneal degeneration, a category of corneal diseases characterized by structural changes such as stromal thinning, breaks in Descemet’s membrane, and irregularities that can impair vision.",True
disseminated sporotrichosis,"disseminated sporotrichosis, a severe form of fungal infection caused by Sporothrix species that spreads from the skin to involve bones, joints, the central nervous system, and other organs, primarily affecting immunocompromised individuals.",True
polyarteritis nodosa,"polyarteritis nodosa, a rare systemic necrotizing vasculitis that primarily affects medium-sized arteries and can lead to significant organ damage.",True
absence epilepsy,"absence epilepsy, a seizure disorder primarily affecting children that causes brief episodes of impaired awareness often characterized by staring spells and subtle motor behaviors with abnormal electrical activity in both sides of the brain.",True
isolated tracheo-esophageal fistula,"isolated tracheo-esophageal fistula, a rare congenital anomaly characterized by an abnormal connection between the esophagus and the trachea without accompanying esophageal atresia that often results in feeding difficulties, choking, and recurrent respiratory issues.",True
stroke disorder,"stroke disorder, an abrupt interruption of blood flow to the brain caused by blocked or ruptured blood vessels that results in immediate neurological deficits and can lead to lasting disability.",True
acute promyelocytic leukemia,"acute promyelocytic leukemia, a rare and aggressive subtype of acute myeloid leukemia characterized by the accumulation of abnormal promyelocytes due to a chromosomal translocation involving the RARA gene and known for its high cure rates with targeted therapies.",True
atopic conjunctivitis,"atopic conjunctivitis, a chronic inflammatory ocular condition associated with atopic dermatitis that causes itching, redness, and blurred vision.",True
"lymphoma, non-Hodgkin, familial","lymphoma, non-Hodgkin, familial, is a form of non-Hodgkin lymphoma in which a family history of hematologic malignancies increases the risk of developing the disease, suggesting a role for inherited genetic susceptibility alongside environmental factors.",True
allergic rhinitis,"allergic rhinitis, an allergic inflammatory reaction triggered by airborne substances such as pollen, pet dander, and mold that causes nasal congestion, sneezing, itching, and clear rhinorrhea.",True
metabolic acidosis,"metabolic acidosis, a condition characterized by a low blood pH and reduced bicarbonate levels due to excessive acid production, bicarbonate loss, or impaired acid removal by the kidneys.",True
dacryocystitis,"dacryocystitis, an infection and inflammation of the lacrimal sac primarily caused by nasolacrimal duct obstruction, resulting in pain, redness, swelling, and excessive tearing.",True
anaplastic ependymoma,"anaplastic ependymoma, a fast-growing and aggressive brain or spinal cord tumor affecting mostly children and young adults, is characterized by rapid growth, potential to spread, and a high tendency to recur.",True
hyperargininemia,"hyperargininemia, a rare autosomal recessive urea cycle disorder caused by arginase 1 deficiency that leads to arginine buildup and typically manifests in early childhood with progressive neurological impairments rather than severe neonatal hyperammonemia.",True
thrombocytopenia,"thrombocytopenia, a condition marked by abnormally low levels of platelets that impairs blood clotting and can lead to excessive bleeding due to various causes such as bone marrow disorders or immune system problems.",True
toxocariasis,"toxocariasis, a zoonotic parasitic infection caused by Toxocara roundworm larvae transmitted through contaminated soil or animal feces that can affect various organs in humans.",True
nephropathic cystinosis,"nephropathic cystinosis, a rare autosomal recessive lysosomal storage disorder caused by CTNS gene mutations that leads to cystine accumulation, resulting in renal Fanconi syndrome, progressive kidney failure, and multisystem complications.",True
disease of orbital region,"disease of orbital region, a term encompassing diverse disorders of the eye socket—including inflammatory, infectious, neoplastic, and congenital conditions—that manifest with symptoms like pain, swelling, and visual disturbances.",True
pelvic inflammatory disease,"pelvic inflammatory disease, an infection of the female reproductive organs usually caused by untreated sexually transmitted bacteria that can lead to pelvic pain, infertility, and ectopic pregnancy.",True
familial sick sinus syndrome,"familial sick sinus syndrome, a rare genetic disorder of the sinoatrial node that impairs heart rhythm and pacemaker function, leading to conditions such as sinus bradycardia, atrial arrhythmias, and symptoms including dizziness, syncope, and palpitations.",True
trigeminal neuralgia,"trigeminal neuralgia, a chronic pain condition affecting the trigeminal nerve that causes sudden, shock-like episodes of severe facial pain.",True
Netherton syndrome,"Netherton syndrome, a rare autosomal recessive genetic disorder caused by SPINK5 mutations, is characterized by red, scaly skin, abnormal hair formation (including ""bamboo hair""), and immune system dysregulation.",True
bullous impetigo,"bullous impetigo, a bacterial skin infection caused by Staphylococcus aureus that produces large, fluid-filled blisters typically affecting infants and young children.",True
amenorrhea (disease),"amenorrhea (disease), a condition defined by the absence of menstrual periods during the reproductive years—whether as primary (never initiating) or secondary (cessation after onset)—that can result from hormonal imbalances, structural issues, or systemic illnesses and may impact bone density and fertility.",True
hereditary breast carcinoma,"hereditary breast carcinoma, a type of breast cancer caused by inherited pathogenic genetic mutations that increase the risk of developing both breast and other associated cancers.",True
retinal capillary malformation,"retinal capillary malformation, a rare, benign, usually unilateral retinal vascular hamartoma that is often asymptomatic but can cause blurred vision or floaters and is characterized by grape-like vacuoles.",True
idiopathic pulmonary fibrosis,"idiopathic pulmonary fibrosis, a progressive lung disorder of unknown origin characterized by scarring of the lung tissue that leads to breathing difficulties, a persistent cough, and reduced lung function.",True
Griscelli syndrome,"Griscelli syndrome, a rare genetic disorder caused by mutations affecting melanosome transport that leads to partial albinism with silvery hair and may also impair immune and neurological function.",True
uterine anomalies,"uterine anomalies, congenital malformations of the uterus arising from abnormal Müllerian duct development that can impact fertility and pregnancy outcomes.",True
opiate dependence,"opiate dependence, a chronic condition marked by the development of tolerance and withdrawal from prolonged opioid use, often underlies the broader disorder of opioid use disorder.",True
telangiectasis,"telangiectasis, a condition marked by small, dilated blood vessels near the skin’s surface that appear as red or blue threadlike lines and may be harmless or indicate an underlying health disorder.",True
dyskinesia of esophagus,"dyskinesia of esophagus, a disorder of esophageal motor function marked by abnormal, uncoordinated muscle contractions that cause intermittent symptoms such as dysphagia, chest pain, and reflux.",True
adrenal gland cancer,"adrenal gland cancer, a rare malignancy that originates in the hormone-producing glands atop the kidneys and can lead to hormonal imbalances.",True
drug-induced akathisia,"drug-induced akathisia, a neuropsychiatric syndrome most often triggered by antipsychotic medications that causes an intense inner restlessness and a compulsion to move.",True
exercise-induced malignant hyperthermia,"exercise-induced malignant hyperthermia, a rare, life-threatening disorder triggered by strenuous exercise that causes extreme hyperthermia (body temperature >40°C), muscle rigidity, and neurological disturbances ranging from confusion to convulsions or coma.",True
melioidosis,"melioidosis, is a bacterial infection caused by Burkholderia pseudomallei found in contaminated soil and water—especially in Southeast Asia and Australia—that can result in a spectrum of disease severity from mild symptoms to life-threatening pneumonia and septic shock.",True
cavernous hemangiomas of face-supraumbilical midline raphe syndrome,"cavernous hemangiomas of face-supraumbilical midline raphe syndrome, a rare condition characterized by facial cavernous hemangiomas in conjunction with a supraumbilical midline raphe and often associated with congenital midline anomalies such as sternal defects.",True
gonococcal epididymo-orchitis,"gonococcal epididymo-orchitis, an inflammatory condition of the epididymis and testicles caused by Neisseria gonorrhoeae typically acquired as a sexually transmitted infection.",True
WT limb-blood syndrome,"WT limb-blood syndrome, a rare autosomal dominant disorder characterized by congenital limb malformations—including radial/ulnar defects, hypoplastic or bifid thumbs, and syndactyly—and childhood-onset hematological anomalies such as aplastic anemia, Fanconi anemia, leukemia, and lymphoma.",True
lymphopenia (disease),"lymphopenia (disease), a disorder characterized by abnormally low levels of lymphocytes in the blood that can result from infections, autoimmune disorders, medical treatments, or other underlying conditions, increasing susceptibility to infections.",True
prediabetes syndrome,"prediabetes syndrome, a condition where blood sugar levels are elevated yet not high enough to be classified as diabetes, increases the risk of developing type 2 diabetes, heart disease, and stroke while often being manageable through lifestyle modifications.",True
Bartter disease,"Bartter disease, a rare group of autosomal recessive genetic disorders that impair kidney salt reabsorption and lead to electrolyte imbalances such as hypokalemia and metabolic alkalosis.",True
obsolete vascular headache,"obsolete vascular headache, an outdated term formerly used to describe headache disorders once attributed to vascular changes that are now classified under more specific diagnoses such as migraine, cluster headache, or vascular disorder-related headache.",True
bone fracture,"bone fracture, a disruption in bone continuity resulting from excessive force that can cause partial or complete breaks and requires proper diagnosis and treatment.",True
Lyell syndrome,"Lyell syndrome, a rare and potentially fatal skin disorder typically triggered by medications that causes extensive epidermal detachment and mucosal involvement.",True
familial papillary or follicular thyroid carcinoma,"familial papillary or follicular thyroid carcinoma, a rare hereditary form of differentiated nonmedullary thyroid cancer occurring in two or more first-degree relatives and often characterized by multicentric tumors with frequent capsular invasion in the absence of other familial tumor syndromes.",True
heel spur,"heel spur, a bony growth beneath the heel bone caused by calcium deposits from repetitive stress on foot ligaments that can lead to pain and inflammation.",True
hypoalphalipoproteinemia,"hypoalphalipoproteinemia, a disorder defined by abnormally low levels of high-density lipoprotein cholesterol that increases the risk of cardiovascular disease.",True
syndromic dyslipidemia,"syndromic dyslipidemia, a genetically inherited lipid metabolism disorder that occurs as part of broader syndromic conditions and is characterized by abnormal cholesterol, triglyceride, and lipoprotein profiles contributing to increased cardiovascular risk.",True
constipation disorder,"constipation disorder, a condition characterized by infrequent, difficult, or incomplete bowel movements—typically fewer than three times a week—resulting from factors such as low fiber intake, dehydration, inactivity, or underlying medical conditions.",True
tinea manuum,"tinea manuum, a fungal infection of the hands that typically presents as a red, scaly, and itchy rash with raised, ring-like borders.",True
primary mediastinal large B-cell lymphoma,"primary mediastinal large B-cell lymphoma, an aggressive non-Hodgkin lymphoma arising from thymic B-cells in the mediastinum that predominantly affects young adults and is characterized by distinct clinicopathologic features and a unique molecular signature overlapping with nodular sclerosis classic Hodgkin lymphoma.",True
fascioliasis,"fascioliasis, a parasitic infection caused by liver flukes that primarily affects the liver and bile ducts in both humans and animals through ingestion of contaminated water plants.",True
Budd-Chiari syndrome,"Budd-Chiari syndrome, a rare liver disease caused by obstruction of the hepatic veins (often due to blood clots) that impedes blood flow from the liver and can lead to complications such as liver enlargement, ascites, and portal hypertension.",True
neuroendocrine carcinoma,"neuroendocrine carcinoma, rare cancers originating in specialized hormone-producing cells throughout the body that can cause varied symptoms through hormonal imbalances and structural effects.",True
Meniere disease,"Meniere disease, an inner ear disorder that causes episodic vertigo, hearing loss, tinnitus, and a sensation of fullness in the ear, often linked to fluid buildup in the labyrinth.",True
carotid stenosis,"carotid stenosis, a condition characterized by plaque-induced narrowing of the carotid arteries that restricts blood flow to the brain and increases the risk of stroke.",True
homocystinuria (disease),"homocystinuria (disease), a rare inherited metabolic disorder caused by enzyme deficiencies that impair methionine processing and lead to elevated homocysteine levels with associated skeletal, ocular, and vascular complications.",True
spinal muscular atrophy,"spinal muscular atrophy, a genetic disorder that causes progressive muscle weakness and atrophy due to the degeneration of motor neurons.",True
spinal cord injury,"spinal cord injury, a condition caused by damage to the spinal cord or surrounding vertebrae that disrupts nerve signals between the brain and body, leading to motor, sensory, and autonomic impairments.",True
morphine dependence,"morphine dependence, a condition caused by chronic morphine use that leads to both physical and psychological reliance characterized by tolerance and withdrawal symptoms.",True
cutaneous larva migrans,"cutaneous larva migrans, a parasitic skin infection caused by hookworm larvae that burrow into the skin to produce winding, itchy, snake-like tracks.",True
hereditary angioedema,"hereditary angioedema, is a rare autosomal dominant disorder caused by C1-inhibitor deficiency or dysfunction that leads to recurrent severe swelling of the skin, gastrointestinal tract, and airway.",True
adult-onset myasthenia gravis,"adult-onset myasthenia gravis, a chronic autoimmune neuromuscular disorder occurring predominantly in adults, is characterized by fluctuating, fatigable muscle weakness—often affecting the eyes, face, and limbs—and may be associated with thymic abnormalities such as thymomas.",True
hypophosphatemia (disease),"hypophosphatemia (disease), a condition characterized by dangerously low blood phosphate levels that can compromise bone health, muscle function, and overall cellular activity, potentially leading to life-threatening complications when severe.",True
acquired polycythemia vera,"acquired polycythemia vera, a rare chronic myeloproliferative disorder caused by an acquired JAK2 mutation that leads to excess production of red blood cells, thickened blood, and an increased risk of blood clots.",True
Reye syndrome,"Reye syndrome, a rare and potentially fatal condition characterized by acute liver and brain swelling typically occurring in children and teenagers after a viral infection.",True
upper aerodigestive tract neoplasm,"upper aerodigestive tract neoplasm, is a malignant tumor arising from the mucosal surfaces of the head and neck—including the oral cavity, pharynx, larynx, and esophagus—that is predominantly a squamous cell carcinoma associated with tobacco and alcohol use.",True
T-cell leukemia,"T-cell leukemia, a rare blood cancer caused by the uncontrolled proliferation of malignant T cells that can manifest in various aggressive subtypes such as T-cell acute lymphoblastic leukemia and adult T-cell leukemia/lymphoma.",True
hypertrophic cardiomyopathy,"hypertrophic cardiomyopathy, a genetic heart disorder characterized by abnormal thickening of the heart muscle that can disrupt blood flow and lead to arrhythmias and other complications.",True
autism susceptibility 1,"autism susceptibility 1, a genetic locus on chromosome 7q that has been linked to an increased risk for autism spectrum disorders, including Asperger syndrome.",True
chylomicron retention disease,"chylomicron retention disease, a rare autosomal recessive disorder caused by SAR1B mutations that impair chylomicron secretion from enterocytes, leading to fat malabsorption, steatorrhea, failure to thrive, and nutritional deficiencies.",True
pseudotumor cerebri,"pseudotumor cerebri, a condition of increased intracranial pressure with no obvious cause that mimics a brain tumor by producing headaches, vision changes, and optic nerve swelling.",True
phosphorus metabolism disease,"phosphorus metabolism disease, a condition resulting from imbalanced phosphate homeostasis that disrupts skeletal mineralization, energy metabolism, and soft tissue integrity, often manifesting as rickets, osteomalacia, ectopic calcification, and kidney complications.",True
hereditary mucosal leukokeratosis,"hereditary mucosal leukokeratosis, a rare autosomal dominant genetic disorder caused by mutations in keratin genes that produces thickened, white, spongy lesions primarily on the oral mucosa and sometimes on other mucosal surfaces.",True
trisomy 13,"trisomy 13, a rare chromosomal disorder caused by an extra copy of chromosome 13 that leads to severe developmental abnormalities in the brain, heart, and face, and is often associated with a high infant mortality rate.",True
oral mucosa leukoplakia,"oral mucosa leukoplakia, is a white patch or plaque on the mouth's mucosal surface that cannot be attributed to any other condition and is considered a potentially premalignant lesion often associated with chronic irritation or tobacco use.",True
anaplastic astrocytoma,"anaplastic astrocytoma, a rare and aggressive malignant brain tumor originating from astrocyte cells that grows quickly and mainly affects adults.",True
endometriosis of uterus,"endometriosis of uterus, a chronic condition in which tissue resembling the uterine lining grows outside the uterus, leading to pelvic pain, irregular bleeding, and fertility challenges.",True
male infertility due to large-headed multiflagellar polyploid spermatozoa,"male infertility due to large-headed multiflagellar polyploid spermatozoa, is a rare male infertility disorder characterized by a predominance of spermatozoa with abnormally enlarged, irregular heads, multiple flagella, and defective midpieces and acrosomes.",True
primary cutaneous gamma/delta-positive T-cell lymphoma,"primary cutaneous gamma/delta-positive T-cell lymphoma, is a rare and usually aggressive cutaneous lymphoma characterized by clonal proliferation of mature, cytotoxic gamma/delta T cells that infiltrate the skin and typically present as ulcerating plaques, nodules, or tumors.",True
cutaneous leukocytoclastic angiitis,"cutaneous leukocytoclastic angiitis, a form of isolated cutaneous small-vessel vasculitis, is characterized by palpable purpura primarily on the lower extremities and is typically confined to the skin with rare systemic involvement.",True
allergic urticaria,"allergic urticaria, a skin condition marked by the sudden appearance of red, raised, and intensely itchy welts triggered by allergic reactions to various substances.",True
