disease,count,top1_disease,top2_disease,top3_disease,top4_disease,top5_disease,top1_mesh,top2_mesh,top3_mesh,top4_mesh,top5_mesh
Pediatric Crohn's Disease,1,Crohn Disease,"Diarrhea, Infantile",Pediatric Obesity,"Diverticulitis, Colonic",Celiac Disease,D003424,D003968,D063766,D004239,D002446
Chuvash Polycythemia,1,Polycythemia,Polycythemia Vera,Hypercapnia,Hyperekplexia,Hyperemia,D011086,D011087,D006935,D000071017,D006940
Aicardi Goutieres Syndrome,1,Aicardi Syndrome,Bernard-Soulier Syndrome,Lemierre Syndrome,Meniere Disease,Susac Syndrome,D058540,D001606,D057831,D008575,D055955
Acute Myeloid Leukemia With Multilineage Dysplasia,1,"Leukemia, Myeloid, Accelerated Phase","Leukemia, Myeloid, Chronic-Phase","Leukemia, Megakaryoblastic, Acute","Leukemia, Myelomonocytic, Acute","Leukemia, Myelomonocytic, Juvenile",D015465,D015466,D007947,D015479,D054429
Peri-Implantitis,1,Peri-Implantitis,Periostitis,Periapical Abscess,Periarthritis,Periapical Granuloma,D057873,D010522,D010482,D010489,D010484
Steatohepatitis,1,Steatorrhea,"Cholangitis, Sclerosing","Fatty Liver, Alcoholic","Hepatitis, Alcoholic",Peliosis Hepatis,D045602,D015209,D005235,D006519,D010382
Gastrointestinal Cancer,1,Gastrointestinal Stromal Tumors,Stomach Neoplasms,Duodenal Neoplasms,Colitis-Associated Neoplasms,Gallbladder Neoplasms,D046152,D013274,D004379,D000083023,D005706
H1N1 Influenza,1,Influenza in Birds,"Influenza, Human","Pneumonia, Pneumococcal",Marburg Virus Disease,Respiratory Syncytial Virus Infections,D005585,D007251,D011018,D008379,D018357
Severe Blunt Trauma,1,Severe Dengue,"Shock, Traumatic","Head Injuries, Penetrating",Blast Injuries,Severe Acute Respiratory Syndrome,D019595,D012774,D020197,D001753,D045169
Arteriovenous Fistula,1,Pancreatic Fistula,Gastric Fistula,Bronchial Fistula,Biliary Fistula,Cutaneous Fistula,D010185,D005747,D001983,D001658,D017577
Pediatric Ulcerative Colitis,1,"Colitis, Ulcerative","Diarrhea, Infantile","Colitis, Ischemic","Enterocolitis, Necrotizing",Pediatric Obesity,D003093,D003968,D017091,D020345,D063766
AL Amyloidosis,1,Immunoglobulin Light-chain Amyloidosis,"Plaque, Amyloid","Amyloid Neuropathies, Familial","Cerebral Amyloid Angiopathy, Familial","Protein Aggregation, Pathological",D000075363,D058225,D028227,D028243,D066263
Alcoholic Cirrhosis,1,"Liver Cirrhosis, Alcoholic","Liver Cirrhosis, Biliary","Hepatitis, Alcoholic","Fatty Liver, Alcoholic","Liver Cirrhosis, Experimental",D008104,D008105,D006519,D005235,D008106
Astroblastoma,1,Hepatoblastoma,Ameloblastoma,Hemangioblastoma,Gonadoblastoma,Lipoblastoma,D018197,D000564,D018325,D018238,D062689
Autosomal Dominant Retinitis Pigmentosa,1,"Optic Atrophy, Autosomal Dominant",Retinal Degeneration,Familial Exudative Vitreoretinopathies,"Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive","Optic Atrophy, Hereditary, Leber",D029241,D012162,D000080345,D053360,D029242
Bronchial Asthma,1,Bronchial Spasm,Bronchial Hyperreactivity,Bronchial Fistula,"Aspergillosis, Allergic Bronchopulmonary",Bronchial Neoplasms,D001986,D016535,D001983,D001229,D001984
X-Linked Juvenile Retinoschisis 1,1,Retinoschisis,"Ichthyosis, X-Linked","Bulbo-Spinal Atrophy, X-Linked","Xanthogranuloma, Juvenile",X-Linked Combined Immunodeficiency Diseases,D041441,D016114,D055534,D014972,D053632
Myeloid Leukemia Associated With Down Syndrome,1,Down Syndrome,"Leukemia, Myeloid, Accelerated Phase","Sarcoma, Myeloid","Leukemia, Myeloid, Chronic-Phase","Leukemia, Mast-Cell",D004314,D015465,D023981,D015466,D007946
Cognitive Impairment,1,Chemotherapy-Related Cognitive Impairment,Postoperative Cognitive Complications,Intellectual Disability,"Dementia, Vascular",Clinical Deterioration,D000084202,D000079690,D008607,D015140,D000075902
Intrauterine Growth Restriction,1,Fetal Growth Retardation,Placental Insufficiency,Intrauterine Device Migration,Fetal Resorption,Fetal Nutrition Disorders,D005317,D010927,D058736,D005327,D048070
Ataxia With Oculomotor Apraxia Type 1,1,"Apraxia, Ideomotor",Cerebellar Ataxia,Gait Ataxia,Oculocerebrorenal Syndrome,"Muscular Dystrophy, Oculopharyngeal",D020240,D002524,D020234,D009800,D039141
Stomach Cancer,1,Stomach Neoplasms,Gallbladder Neoplasms,Stomach Ulcer,Stomach Rupture,Sigmoid Neoplasms,D013274,D005706,D013276,D013275,D012811
Cervical Adenocarcinoma,1,Uterine Cervical Neoplasms,Adenocarcinoma in Situ,"Carcinoma, Ovarian Epithelial","Adenocarcinoma, Bronchiolo-Alveolar","Carcinoma, Endometrioid",D002583,D065311,D000077216,D002282,D018269
Unexplained Infertility,1,Medically Unexplained Symptoms,"Brief, Resolved, Unexplained Event","Infertility, Female",Azoospermia,Fever of Unknown Origin,D000071896,D057768,D007247,D053713,D005335
Aortic Insufficiency,1,Aortic Valve Insufficiency,Tricuspid Valve Insufficiency,Pulmonary Valve Insufficiency,Mitral Valve Insufficiency,Aortic Rupture,D001022,D014262,D011665,D008944,D001019
Metastatic Head And Neck Squamous Cell Carcinoma,1,Squamous Cell Carcinoma of Head and Neck,Esophageal Squamous Cell Carcinoma,Hypopharyngeal Neoplasms,Nasopharyngeal Carcinoma,"Carcinoma, Skin Appendage",D000077195,D000077277,D007012,D000077274,D018280
Lung Carcinoid Tumor,1,Carcinoid Heart Disease,Bronchial Neoplasms,"Carcinoma, Lewis Lung",Tracheal Neoplasms,"Adenomatosis, Pulmonary",D002275,D001984,D018827,D014134,D018255
Pre-Eclampsia;Intrauterine Growth Restriction,1,Fetal Growth Retardation,Pre-Eclampsia,Placental Insufficiency,Eclampsia,"Hypertension, Pregnancy-Induced",D005317,D011225,D010927,D004461,D046110
Metastatic Ovarian Cancer,1,"Carcinoma, Ovarian Epithelial",Pelvic Neoplasms,Hereditary Breast and Ovarian Cancer Syndrome,Neoplasm Micrometastasis,Primary Ovarian Insufficiency,D000077216,D010386,D061325,D061206,D016649
Malignant Neoplasm of Oesophagus,1,Mediastinal Neoplasms,Tracheal Neoplasms,Duodenal Neoplasms,Spinal Neoplasms,Laryngeal Neoplasms,D008479,D014134,D004379,D013125,D007822
Myelodysplasia,1,Myelolipoma,Primary Myelofibrosis,Odontodysplasia,"Myelitis, Transverse","Leukemia, Myelomonocytic, Chronic",D018209,D055728,D018126,D009188,D015477
Squamous Cell Lung Carcinoma,1,Esophageal Squamous Cell Carcinoma,Squamous Cell Carcinoma of Head and Neck,Small Cell Lung Carcinoma,"Carcinoma, Non-Small-Cell Lung","Carcinoma, Lewis Lung",D000077277,D000077195,D055752,D002289,D018827
Infertility,1,"Infertility, Female",Azoospermia,Fibromyalgia,Epididymitis,Oligospermia,D007247,D053713,D005356,D004823,D009845
T Cell Prolymphocytic Leukemia,1,"Leukemia, Prolymphocytic, T-Cell","Leukemia-Lymphoma, Adult T-Cell","Leukemia, Plasma Cell","Leukemia, Hairy Cell",Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,D015461,D015459,D007952,D007943,D054218
Aortic Valve Disease,1,Aortic Valve Insufficiency,Bicuspid Aortic Valve Disease,"Aortic Stenosis, Supravalvular",Aortic Root Aneurysm,Quadricuspid Aortic Valve,D001022,D000082882,D021921,D000094628,D000082902
Preterm Birth,1,Premature Birth,Retinopathy of Prematurity,"Puberty, Precocious",Premature Ejaculation,"Aging, Premature",D047928,D012178,D011629,D061686,D019588
Serous Cystadenocarcinoma,1,"Cystadenocarcinoma, Serous","Cystadenoma, Serous","Cystadenocarcinoma, Mucinous","Cystadenocarcinoma, Papillary","Cystadenoma, Mucinous",D018284,D018293,D018282,D018283,D018291
High-Grade Squamous Intraepithelial Lesions,1,Squamous Intraepithelial Lesions of the Cervix,Atypical Squamous Cells of the Cervix,Esophageal Squamous Cell Carcinoma,Squamous Cell Carcinoma of Head and Neck,Prostatic Intraepithelial Neoplasia,D065310,D065309,D000077277,D000077195,D019048
Schwannoma,1,Somatostatinoma,Chordoma,Pinealoma,Spinal Neoplasms,Sciatica,D013005,D002817,D010871,D013125,D012585
Myelomeningocele,1,Meningocele,"Myelitis, Transverse",Myelolipoma,Meningomyelocele,Mucocele,D008588,D009188,D018209,D008591,D009078
Primitive Neuroectodermal Tumor,1,"Neuroectodermal Tumor, Melanotic",Endodermal Sinus Tumor,Rhabdoid Tumor,Palatal Neoplasms,"Neurofibroma, Plexiform",D017600,D018240,D018335,D010157,D018318
Rhinovirus Infection,1,Respiratory Syncytial Virus Infections,Rhinosporidiosis,Rotavirus Infections,Infectious Bovine Rhinotracheitis,Zika Virus Infection,D018357,D012227,D012400,D007241,D000071243
Angelman Syndrome,1,Angelman Syndrome,Silver-Russell Syndrome,Bartter Syndrome,Turner Syndrome,Proteus Syndrome,D017204,D056730,D001477,D014424,D016715
Aortic Dissection,1,"Dissection, Ascending Aorta","Dissection, Abdominal Aorta",Aortic Rupture,Descending Thoracic Aortic Aneurysm,"Aneurysm, Ascending Aorta",D000094630,D000094631,D001019,D000094627,D000094625
Conjunctival Squamous Cell Carcinoma,1,Esophageal Squamous Cell Carcinoma,Squamous Cell Carcinoma of Head and Neck,Conjunctival Neoplasms,Atypical Squamous Cells of the Cervix,"Carcinoma, Adenosquamous",D000077277,D000077195,D003230,D065309,D018196
Adult T-Cell Leukemia,1,"Leukemia-Lymphoma, Adult T-Cell",Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,"Leukemia, Hairy Cell","Leukemia, Plasma Cell","Leukemia, Prolymphocytic, T-Cell",D015459,D054218,D007943,D007952,D015461
Obesity; Metabolically Benign,1,"Obesity, Metabolically Benign","Obesity, Morbid",Obesity Hypoventilation Syndrome,"Obesity, Maternal","Obesity, Abdominal",D000067329,D009767,D010845,D000079262,D056128
Idiopathic Cd4 Lymphocytopenia,1,"T-Lymphocytopenia, Idiopathic CD4-Positive",Idiopathic Hypersomnia,Infectious Mononucleosis,"Purpura, Thrombocytopenic, Idiopathic",Lymphocytosis,D018344,D020177,D007244,D016553,D008218
Fanconi Anemia,1,Fanconi Anemia,Fanconi Syndrome,"Anemia, Diamond-Blackfan",Fibromyalgia,Focal Dermal Hypoplasia,D005199,D005198,D029503,D005356,D005489
Aortic Disease,1,Aortic Rupture,Aortic Valve Insufficiency,Bicuspid Aortic Valve Disease,Descending Thoracic Aortic Aneurysm,Aortitis,D001019,D001022,D000082882,D000094627,D001025
Influenza A (H1N1),1,"Influenza, Human",Influenza in Birds,Hepatitis A,"Pneumonia, Pneumococcal",Respiratory Syncytial Virus Infections,D007251,D005585,D006506,D011018,D018357
Primary Biliary Cirrhosis,1,"Liver Cirrhosis, Biliary",Biliary Atresia,"Liver Cirrhosis, Alcoholic","Jaundice, Chronic Idiopathic",Idiopathic Noncirrhotic Portal Hypertension,D008105,D001656,D008104,D007566,D000094724
Autoimmune Hepatitis,1,"Hepatitis, Autoimmune",Autoimmune Pancreatitis,"Anemia, Hemolytic, Autoimmune",Autoimmune Hypophysitis,Hepatitis A,D019693,D000081012,D000744,D000069281,D006506
Japanese Encephalitis,1,"Encephalitis, Japanese","Encephalitis, California","Encephalitis, Varicella Zoster","Encephalitis, Herpes Simplex","Encephalitis, Tick-Borne",D004672,D004670,D020804,D020803,D004675
Conjunctival Melanoma,1,Conjunctival Neoplasms,Melanoma,"Melanoma, Amelanotic",Choroid Neoplasms,"Melanoma, Experimental",D003230,D008545,D018328,D002830,D008546
Pregnancy Loss; Recurrent; Susceptibility To; 2,1,"Pregnancy Complications, Parasitic","Hypertension, Pregnancy-Induced","Pregnancy, Prolonged","Pregnancy Complications, Hematologic",Persistent Fetal Circulation Syndrome,D015597,D046110,D011273,D011250,D010547
Burkitt Lymphoma,1,Burkitt Lymphoma,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,Plasmablastic Lymphoma,"Lymphoma, Mantle-Cell","Lymphoma, B-Cell, Marginal Zone",D002051,D015452,D000069293,D020522,D018442
Lymphangioleiomyomatosis,1,Lymphangioleiomyomatosis,Lymphangitis,Lymphocele,Leiomyomatosis,"Lymphangioma, Cystic",D018192,D008205,D008210,D018231,D018191
Low-Grade Squamous Intraepithelial Lesions,1,Squamous Intraepithelial Lesions of the Cervix,Atypical Squamous Cells of the Cervix,Esophageal Squamous Cell Carcinoma,Squamous Cell Carcinoma of Head and Neck,Prostatic Intraepithelial Neoplasia,D065310,D065309,D000077277,D000077195,D019048
Acute Tonsillitis,1,Acute Disease,Acute Generalized Exanthematous Pustulosis,Acute Pain,Acute Febrile Encephalopathy,Peritonsillar Abscess,D000208,D056150,D059787,D000071072,D000039
Allergic Disorder of Respiratory System,1,Allergic Fungal Sinusitis,"Conjunctivitis, Allergic","Aspergillosis, Allergic Bronchopulmonary","Rhinitis, Allergic, Seasonal",Dust Mite Allergy,D000092562,D003233,D001229,D006255,D000092542
Brain Damage,1,Brain Death,"Brain Injury, Chronic",Brain Edema,Brain Contusion,Brain Concussion,D001926,D020208,D001929,D000070624,D001924
Squamous Cell Carcinoma of Cervix,1,Esophageal Squamous Cell Carcinoma,Squamous Cell Carcinoma of Head and Neck,Atypical Squamous Cells of the Cervix,Squamous Intraepithelial Lesions of the Cervix,Uterine Cervical Neoplasms,D000077277,D000077195,D065309,D065310,D002583
Proliferative Dr,1,"Vitreoretinopathy, Proliferative",Diabetic Retinopathy,Retinal Drusen,"Synovitis, Pigmented Villonodular",Persistent Hyperplastic Primary Vitreous,D018630,D003930,D015593,D013586,D054514
Juvenile Spondyloarthropathy,1,"Arthritis, Juvenile","Spondylitis, Ankylosing",Spondylolisthesis,"Xanthogranuloma, Juvenile",Enthesopathy,D001171,D013167,D013168,D014972,D000070676
Uterine Fibroid,1,Uterine Prolapse,Fibroadenoma,Uterine Rupture,Fibromyalgia,Uterine Cervicitis,D014596,D018226,D014597,D005356,D002575
Discoid Lupus Rash,1,Diaper Rash,Nephrogenic Fibrosing Dermopathy,"Lupus Vasculitis, Central Nervous System",Lupus Nephritis,"Panniculitis, Lupus Erythematosus",D003963,D054989,D020945,D008181,D015435
Salivary Gland Adenoid Cystic Carcinoma,1,"Carcinoma, Adenoid Cystic","Carcinoma, Adenosquamous",Adenosarcoma,Mammary Analogue Secretory Carcinoma,Nasopharyngeal Carcinoma,D003528,D018196,D018195,D000069295,D000077274
Prolactinoma,1,Prolactinoma,Hyperprolactinemia,Leiomyomatosis,Insulinoma,Somatostatinoma,D015175,D006966,D018231,D007340,D013005
Hypersensitivity Pneumonitis,1,Latex Hypersensitivity,Peanut Hypersensitivity,Radiation Pneumonitis,Drug Hypersensitivity Syndrome,Venom Hypersensitivity,D020315,D021183,D017564,D063926,D000092422
Invasive Ductal Breast Carcinoma,1,"Carcinoma, Ductal, Breast",Breast Carcinoma In Situ,"Carcinoma, Pancreatic Ductal","Carcinoma, Lobular","Carcinoma, Intraductal, Noninfiltrating",D018270,D000071960,D021441,D018275,D002285
Acute Appendicitis,1,Appendicitis,"Abdomen, Acute",Acute Pain,Acute Disease,"Pancreatitis, Acute Necrotizing",D001064,D000006,D059787,D000208,D019283
Squamous Cell Papilloma,1,Esophageal Squamous Cell Carcinoma,Squamous Cell Carcinoma of Head and Neck,Atypical Squamous Cells of the Cervix,Squamous Intraepithelial Lesions of the Cervix,"Papilloma, Inverted",D000077277,D000077195,D065309,D065310,D018308
Cleft Lip/Palate,1,Cleft Palate,Cleft Lip,Lipoblastoma,Petrositis,"Lipodystrophy, Congenital Generalized",D002972,D002971,D062689,D059270,D052497
Williams-Beuren Syndrome,1,Williams Syndrome,Werner Syndrome,Zellweger Syndrome,Barth Syndrome,Walker-Warburg Syndrome,D018980,D014898,D015211,D056889,D058494
Atopic Asthma,1,"Dermatitis, Atopic","Asthma, Occupational","Asthma, Aspirin-Induced",Asthenia,"Asthma, Exercise-Induced",D003876,D059366,D055963,D001247,D001250
Pancreatic Intraductal Papillary-Mucinous Adenoma,1,Pancreatic Intraductal Neoplasms,"Carcinoma, Pancreatic Ductal","Papilloma, Intraductal","Cystadenocarcinoma, Papillary","Cystadenoma, Papillary",D000077779,D021441,D018300,D018283,D018292
Bk Virus Nephropathy,1,Balkan Nephropathy,Diabetic Nephropathies,AIDS-Associated Nephropathy,Bovine Virus Diarrhea-Mucosal Disease,Birnaviridae Infections,D001449,D003928,D016263,D001912,D018175
Endometrium In Polycystic Ovary Syndrome,1,Polycystic Ovary Syndrome,Endometrial Hyperplasia,Endometriosis,Endometritis,Ovarian Hyperstimulation Syndrome,D011085,D004714,D004715,D004716,D016471
Iscu Myopathy,1,"Myositis, Inclusion Body",Scimitar Syndrome,Enthesopathy,"Myopathies, Nemaline",Myositis Ossificans,D018979,D012587,D000070676,D017696,D009221
Teratozoospermia,1,Teratozoospermia,Teratocarcinoma,Teratogenesis,Azoospermia,Hemospermia,D000072660,D018243,D064793,D053713,D051516
Adenoma,1,"Adenoma, Bile Duct",Adrenocortical Adenoma,"Adenoma, Villous",Adenomatoid Tumor,"Adenoma, Liver Cell",D002759,D018246,D018253,D018254,D018248
Hepatocellular Adenoma,1,"Adenoma, Liver Cell","Carcinoma, Hepatocellular","Adenoma, Bile Duct",Adrenocortical Adenoma,Hepatoblastoma,D018248,D006528,D002759,D018246,D018197
Thyroid Associated Opthalmopathies,1,Graves Ophthalmopathy,"Tuberculosis, Ocular","Toxoplasmosis, Ocular",Toxic Optic Neuropathy,"Ophthalmia, Sympathetic",D049970,D014392,D014126,D000081028,D009879
Necrotizing Myopathy,1,"Pneumonia, Necrotizing","Myopathies, Nemaline","Fasciitis, Necrotizing",Histiocytic Necrotizing Lymphadenitis,"Enterocolitis, Necrotizing",D000071067,D017696,D019115,D020042,D020345
Non specific Myopathy,1,"Panniculitis, Nodular Nonsuppurative","Myopathies, Nemaline","Myositis, Inclusion Body",Distal Myopathies,"Hyperglycinemia, Nonketotic",D010201,D017696,D018979,D049310,D020158
Progressive Chronic Myeloid Leukemia,1,"Leukemia, Myeloid, Chronic-Phase","Multiple Sclerosis, Chronic Progressive","Leukemia, Myeloid, Accelerated Phase",Primary Myelofibrosis,"Leukoencephalopathy, Progressive Multifocal",D015466,D020528,D015465,D055728,D007968
Progressive Colorectal Carcinoma,1,Colonic Polyps,"Colorectal Neoplasms, Hereditary Nonpolyposis","Leukoencephalopathy, Progressive Multifocal","Multiple Sclerosis, Chronic Progressive",Nasopharyngeal Carcinoma,D003111,D003123,D007968,D020528,D000077274
Intraosseous Ameloblastoma,1,Ameloblastoma,"Melanoma, Amelanotic",Intra-Articular Fractures,Osteoblastoma,Amelogenesis Imperfecta,D000564,D018328,D057072,D018215,D000567
Keratocystic Odontogenic Tumor,1,"Odontogenic Cyst, Calcifying",Odontoma,"Keratosis, Actinic",Ameloblastoma,Palatal Neoplasms,D018333,D009810,D055623,D000564,D010157
Pancreatic Intraductal Papillary-Mucinous Neoplasm,1,Pancreatic Intraductal Neoplasms,"Carcinoma, Pancreatic Ductal","Papilloma, Intraductal","Cystadenocarcinoma, Papillary",Duodenal Neoplasms,D000077779,D021441,D018300,D018283,D004379
Choroid Plexus Papilloma,1,"Papilloma, Choroid Plexus",Choroid Neoplasms,Choroid Hemorrhage,Papilledema,Choroideremia,D020288,D002830,D002832,D010211,D015794
Vaginal Dryness,1,Atrophic Vaginitis,"Candidiasis, Vulvovaginal",Vaginal Neoplasms,Dermatitis Herpetiformis,De Quervain Disease,D059268,D002181,D014625,D003874,D053684
Noonan/Jmml Syndrome,1,Noonan Syndrome,Laurence-Moon Syndrome,Nelson Syndrome,Nocturnal Myoclonus Syndrome,Sneddon Syndrome,D009634,D007849,D009347,D020189,D018860
Aldosterone-Producing Adenoma,1,ACTH-Secreting Pituitary Adenoma,Adrenocortical Adenoma,Growth Hormone-Secreting Pituitary Adenoma,Adrenocortical Carcinoma,Pituitary Neoplasms,D049913,D018246,D049912,D018268,D010911
Esophagus Squamous Cell Carcinoma,1,Esophageal Squamous Cell Carcinoma,Squamous Cell Carcinoma of Head and Neck,Esophageal Stenosis,"Carcinoma, Adenosquamous",Atypical Squamous Cells of the Cervix,D000077277,D000077195,D004940,D018196,D065309
Papillary Thyroid Cancer,1,"Thyroid Cancer, Papillary","Carcinoma, Papillary","Thyroid Carcinoma, Anaplastic","Carcinoma, Papillary, Follicular","Cystadenocarcinoma, Papillary",D000077273,D002291,D065646,D018265,D018283
Idiopathic Iga Nephopathy,1,"Glomerulonephritis, IGA",IgA Vasculitis,IgA Deficiency,Idiopathic Hypersomnia,Diabetic Nephropathies,D005922,D011695,D017098,D020177,D003928
Alexander Disease,1,Alexander Disease,Gilbert Disease,Tangier Disease,Lafora Disease,Alzheimer Disease,D038261,D005878,D013631,D020192,D000544
Extramammary Paget Disease,1,"Paget Disease, Extramammary","Paget's Disease, Mammary",Pagetoid Reticulosis,Multiple Sulfatase Deficiency Disease,Hypergammaglobulinemia,D010145,D010144,D056267,D052517,D006942
Malignant Struma Ovarii,1,Struma Ovarii,"Carcinoma, Ovarian Epithelial",Eccrine Porocarcinoma,Hereditary Breast and Ovarian Cancer Syndrome,Tracheal Neoplasms,D013330,D000077216,D057090,D061325,D014134
Hypercholesterolemia,1,Hypercholesterolemia,Homozygous Familial Hypercholesterolemia,Hemochromatosis,Hypertrichosis,Hyperthermia,D006937,D000090542,D006432,D006983,D000084462
Mitochondrial Myopathy; Encephalopathy; Lactic Acidosis; And Stroke-Like Episodes,1,Mitochondrial Encephalomyopathies,Sepsis-Associated Encephalopathy,"Acidosis, Lactic",Acute Febrile Encephalopathy,"Acidosis, Respiratory",D017237,D065166,D000140,D000071072,D000142
Marfan Syndrome,1,Marfan Syndrome,Fanconi Syndrome,Syndrome,Serotonin Syndrome,Marburg Virus Disease,D008382,D005198,D013577,D020230,D008379
Lymphatic Malformation 3,1,Lymphatic Metastasis,Lymphocele,Vein of Galen Malformations,"Cystic Adenomatoid Malformation of Lung, Congenital",Anorectal Malformations,D008207,D008210,D054080,D015615,D000071056
Hepatosplenic T-Cell Lymphoma,1,Enteropathy-Associated T-Cell Lymphoma,Peliosis Hepatis,"Lymphoma, T-Cell, Peripheral",Hepatomegaly,Hepatorenal Syndrome,D058527,D010382,D016411,D006529,D006530
Measles,1,Mumps,Myocarditis,Infectious Mononucleosis,Medulloblastoma,Melanoma,D009107,D009205,D007244,D008527,D008545
Kashin-Beck Disease,1,Kashin-Beck Disease,Kasabach-Merritt Syndrome,Hirschsprung Disease,Glycogen Storage Disease Type IIb,Tay-Sachs Disease,D057767,D059885,D006627,D052120,D013661
Chronic Rejection of Renal Transplant,1,"Kidney Tubular Necrosis, Acute",Chronic Kidney Diseases of Uncertain Etiology,Chronic Traumatic Encephalopathy,Chronic Kidney Disease-Mineral and Bone Disorder,Chronic Limb-Threatening Ischemia,D007683,D000092702,D000070627,D012080,D000089802
Ischemia,1,Mesenteric Ischemia,Ischemic Contracture,"Hypoxia-Ischemia, Brain",Chronic Limb-Threatening Ischemia,"Colitis, Ischemic",D065666,D054061,D020925,D000089802,D017091
Tonsillar Carcinoma,1,Tonsillar Neoplasms,Tongue Neoplasms,Nasopharyngeal Carcinoma,Laryngeal Neoplasms,Squamous Cell Carcinoma of Head and Neck,D014067,D014062,D000077274,D007822,D000077195
Alpha Thalassemia-Intellectual Disability Syndrome Type 1,1,alpha-Thalassemia,"Hyper-IgM Immunodeficiency Syndrome, Type 1",Intellectual Disability,alpha 1-Antitrypsin Deficiency,beta-Thalassemia,D017085,D053307,D008607,D019896,D017086
Heart Failure With Preserved Ejection Fraction,1,"Heart Failure, Diastolic","Heart Failure, Systolic","Ventricular Dysfunction, Right","Ventricular Outflow Obstruction, Left",Isolated Noncompaction of the Ventricular Myocardium,D054144,D054143,D018497,D000092242,D056830
Sinonasal Inverted Papilloma,1,"Papilloma, Inverted",Papilledema,Nasal Polyps,Nasopharyngeal Carcinoma,"Papilloma, Choroid Plexus",D018308,D010211,D009298,D000077274,D020288
X-Linked Acrogigantism,1,"Ichthyosis, X-Linked","Bulbo-Spinal Atrophy, X-Linked",X-Linked Combined Immunodeficiency Diseases,Acrodermatitis,Acrodynia,D016114,D055534,D053632,D000169,D000170
Frontotemporal Lobar Degeneration,1,Frontotemporal Dementia,Corticobasal Degeneration,Wallerian Degeneration,Gyrate Atrophy,"Leukoencephalopathy, Progressive Multifocal",D057180,D000088282,D014855,D015799,D007968
Pulmonary Fibrosis,1,Pulmonary Fibrosis,Peritoneal Fibrosis,Pulmonary Emphysema,Pulmonary Heart Disease,Pulmonary Eosinophilia,D011658,D056627,D011656,D011660,D011657
Carcinoma of The Base of The Tongue,1,Squamous Cell Carcinoma of Head and Neck,Tongue Neoplasms,Nasopharyngeal Carcinoma,"Carcinoma, Adenosquamous",Skull Base Neoplasms,D000077195,D014062,D000077274,D018196,D019292
Complete Hydatidiform Mole,1,"Hydatidiform Mole, Invasive","Echinococcosis, Hepatic","Abortion, Incomplete","Echinococcosis, Pulmonary","Cystic Adenomatoid Malformation of Lung, Congenital",D002820,D004444,D000027,D004445,D015615
Non-Erosive Reflux Disease,1,"Esophagitis, Peptic","Endocarditis, Non-Infective",Duodenogastric Reflux,Non-Radiographic Axial Spondyloarthritis,Laryngopharyngeal Reflux,D004942,D059905,D004383,D000089202,D057045
B-Cell Pediatric Acute Lymphoblastic Leukemia,1,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,"Leukemia, Lymphocytic, Chronic, B-Cell","Leukemia-Lymphoma, Adult T-Cell",Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,"Leukemia, Basophilic, Acute",D015452,D015451,D015459,D054218,D015471
TAB2 haploinsufficiency,1,GATA2 Deficiency,Tabes Dorsalis,"Tay-Sachs Disease, AB Variant","Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive","Optic Atrophy, Autosomal Dominant",D000077428,D013606,D049290,D053360,D029241
Meningeal Tuberculosis,1,"Tuberculosis, Meningeal",Meningism,Meningocele,Meningomyelocele,"Tuberculosis, Pleural",D014390,D008580,D008588,D008591,D014396
Vaginal Atrophy,1,Atrophic Vaginitis,Geographic Atrophy,Gyrate Atrophy,"Rhinitis, Atrophic",Lichen Sclerosus et Atrophicus,D059268,D057092,D015799,D012222,D018459
Odontogenic Keratocysts of The Jaw,1,"Odontogenic Cyst, Calcifying",Odontoma,"Keratosis, Actinic",Odontodysplasia,Ameloblastoma,D018333,D009810,D055623,D018126,D000564
Odontogenic Keratocyst,1,"Odontogenic Cyst, Calcifying",Odontoma,Odontodysplasia,Keratoacanthoma,Keratoconus,D018333,D009810,D018126,D007636,D007640
Osteoarthritis of Knee,1,"Osteoarthritis, Knee","Osteoarthritis, Hip","Osteoarthritis, Spine",Knee Dislocation,"Osteoarthropathy, Primary Hypertrophic",D020370,D015207,D055013,D031221,D010004
Uc - L Colitis,1,"Colitis, Ulcerative","Colitis, Lymphocytic","Colitis, Collagenous","Colitis, Ischemic",Colitis-Associated Neoplasms,D003093,D046730,D046729,D017091,D000083023
CHOPS Syndrome,1,Cushing Syndrome,Poland Syndrome,Job Syndrome,Syndrome,POEMS Syndrome,D003480,D011045,D007589,D013577,D016878
Prolidase Deficiency,1,Biotinidase Deficiency,Riboflavin Deficiency,Pyruvate Carboxylase Deficiency Disease,Dihydropyrimidine Dehydrogenase Deficiency,Pyruvate Dehydrogenase Complex Deficiency Disease,D028921,D012257,D015324,D054067,D015325
Vitiligo,1,Vitiligo,Vulvar Vestibulitis,Typhlitis,Vulvar Lichen Sclerosus,Pityriasis Lichenoides,D014820,D054515,D053706,D007724,D017514
